Feature,Mean,Std
Temperature_C,25.769568493150683,5.453429128742086
Humidity_%,75.40250956050228,18.90534777481603
Wind_Speed_m/s,1.8080065639269407,1.0554254730683537
Precipitation_mm,7.288518122146119,16.298140966550765
Month_Sin,-0.005381100315445955,0.7056343258011534
Month_Cos,-0.002372672339135487,0.7085568057282757
Hour_Sin,-3.954218991815626e-18,0.7071093036985515
Hour_Cos,-5.5257675654859386e-17,0.7071093036985514
Temp_Deviation,-3.2013965299122666e-17,3.3636113481870415
Dewpoint_C,20.85007040525114,5.565816687590589
Temp_Humidity_Index,75.26214557264555,7.959533902593841
Instability_Score,1.9673639069634703,1.0019370908722482
Lightning_Probability,0.30313037100456625,0.3051033227340174
Flash_Density_per_km2,0.00625206906392694,0.010349687004452332
Expected_Flashes,0.6304132491438356,0.6744596427274161
Base_Flash_Rate,5.517808219178082,3.3993006284567184
Time_Factor,0.8000000000000002,0.49497651258898606
Weather_Factor,1.8791201484018263,0.6593988712897043
